Filename,DIMBOA,DIMBOA-Glc,DIBOA,HDBOA-Glc,HDMBOA-Glc,InternalStandard
315,5783861.542,1902401.248,110836.7837,57149800.25,34887098.51,18089894.18
316,888192.5396,702591.8354,8484.001124,37480073.17,24825559.46,44152539.75
317,276062.4574,6368434.478,250138.8782,49125759,32469570.27,40280164.75
318,160740280,4093311.35,305062.2682,38853637.6,30159721.26,43930423.56
319,6138321.05,1018119.046,12736.35224,29385413.46,19760614.01,17554768.04
320,66176714.69,5644131.353,318688.6011,69785276.31,43798549.29,47275929.22
321,1811666.637,433655.0433,4914.299469,11330256.83,1291464.933,26089578
322,209552.3125,79691.32612,318225.6382,2895562.396,210953.5568,36017773.73
323,1612208.324,346852.9877,333014.9295,3343041.769,406622.8634,58214998.72
324,988773.4037,123685.1411,NF,10254898.01,2432220.944,34895279.85
325,117901.2248,14375.2128,1142.263063,1244886.456,336486.4226,3646873.404
326,1020481.11,126265.5063,489328.9904,4052771.367,1783691.78,52474313.36
327,1291793.593,198477.7534,8418.484893,2840603.809,373461.753,42011666.47
328,1585764.877,215666.0968,2107.029483,4392969.843,866366.7869,20677306.12
329,623728.0524,126564.4068,108805.4524,5732520.807,591470.6464,29727173.72
330,1492107.172,218878.591,739944.5201,8002821.468,876703.58,51667385.09
331,8490053.592,1427681.336,22693.76864,5746183.921,4654732.034,16313690.19
332,57542026.32,523484.2969,176163.5099,4438887.479,2661090.546,42939920.82
333,11098816.74,869231.101,20145.67573,17264121.53,8470991.677,41183656.57
334,14207476.54,525018.9629,87128.24235,5646771.954,2465660.832,42172422.78
335,11907103.99,1253848.138,53927.77805,2474961.808,1643180.404,40039436.61
336,2099372.672,276527.8874,2632.542306,3768253.512,4235617.48,20818673.45
337,14581472.77,409931.0793,2347.646943,11691759.76,9763006.192,37368510.63
338,109391925.8,2935626.367,174446.0086,11069760.85,4557980.45,48022318.24
339,7993001.349,298470.3602,55960.4927,3041327.858,2403633.063,35268965.91
340,71449221.11,1367027.062,219476.6505,4225200.754,3878852.322,61812000.08
341,472131.5863,96012.8114,1282.442748,10320619.59,885447.9083,16016388.97
342,3776034.834,685893.1176,21333.52136,24627002.33,950852.5664,53108668.41
343,1672968.043,296270.419,277154.4636,4024606.928,510771.2801,27567588.29
344,23133017.28,1887878.833,11204.8103,12707625.78,482460.408,33070983.98
345,1884943.774,405600.5649,7180.144851,13694862.52,668446.9183,41386093.78
346,2571363.558,488343.6603,193468.3497,16742963.2,462595.4927,41202641.06
347,2023047.484,454319.3365,58278.02968,11742151.11,553001.5443,62857190.17
